轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
1,-30.075307803389467,24.150256448321873,5.29278431115327,66.49253054018374,37.69296677024276,0.7617658934567446,81,27
2,-39.248116504998855,24.29386082401982,2.1127768887413874,41.19607614587854,53.60152943929037,1.4353412941650108,81,27
3,-26.958904643117645,12.471139307375308,1.4461144517969202,24.040054780465585,36.76405770101665,0.9805152938689714,81,27
4,-22.78851791664406,6.489130673585115,1.227696904429683,16.310705997325755,29.754853966795366,0.6966336056774045,81,27
5,-23.55366308895158,5.469645251830419,1.1509248945448134,14.677044515256528,30.80916416497878,0.7255501206274386,81,27
6,-24.58473871961052,5.553737896460074,1.0291668507787917,13.787072676199454,32.19024879549757,0.7605510136963408,81,27
7,-25.634357923342858,6.292665614022149,0.9701860105549848,14.054153583667896,33.38022538173346,0.7745867507693208,81,27
8,-27.36058861532329,7.549707227283054,0.9577649964226617,15.211827313458478,35.57735393665455,0.8216765335312596,81,27
9,-28.932360967000324,7.3429923940587924,0.9276300624564842,14.764032964353207,37.672551543624316,0.8740190429452025,81,27
10,-28.04350914189845,3.566916589383726,1.0168118587246648,11.701411459181044,37.640620737899965,0.9597111609246995,81,27
11,-23.443514741497275,-5.296678365380676,1.2111106779840257,4.392207075048376,32.090818569983966,0.8647303879261017,81,27
12,-23.243572023179794,-4.572145347242002,1.1265901967331216,4.440576217792652,31.42923329200274,0.8185661335786184,81,27
13,-23.455215642481676,-3.4753503490377358,0.9961531096034579,4.493874541035405,31.341195848253037,0.7885980175601112,81,27
14,-23.783970020435476,-3.8572250648781106,0.9066307059040776,3.3958205823545105,31.40731272285367,0.7623342753928385,81,27
15,-23.98002106466411,-6.457170009613037,0.8991361061731974,0.7359188397725424,31.56647938857844,0.7586458421047823,81,27
16,-21.784871701841002,-12.608716046368635,0.922483068925363,-5.228851477305095,29.2116992149824,0.7426827564651584,81,27
17,-20.97623693207164,-11.91226683722602,0.8803664203043338,-4.869335492451985,27.871123867270388,0.6894886971991739,81,27
18,-20.551519535205983,-9.04810576968723,0.8388382969079194,-2.337399394423873,27.08614316398715,0.6534623564393433,81,27
19,-20.469896245885778,-7.996401698501022,0.8646316859457228,-1.0793482109352395,26.77908864433383,0.6309192335164105,81,27
20,-20.35938337114122,-7.388870998665139,0.8513000121823063,-0.5784709012066876,26.58676503028399,0.6227381659878625,81,27
21,-20.0502995385064,-6.876510823214495,0.8653148655538205,0.04600809238575123,26.153170573858567,0.610287105779589,81,27
22,-20.235729276398082,-7.154516679269296,0.8689320352342393,-0.20306039739538123,26.237216737535263,0.600148747180715,81,27
23,-19.94759229966152,-7.399133726402566,0.8137441630716677,-0.8891804218292236,26.037006001413605,0.6089413780489086,81,27
24,-20.09061587298358,-7.067665965468795,0.8082145783636305,-0.6019493385597512,26.114585711632245,0.6023969893102292,81,27
25,-20.048853050043554,-7.924013773600261,0.8172978074462326,-1.3856313140304,26.04999765937711,0.6001144689910206,81,27
26,-20.038550753652313,-8.291963082772714,0.8129029715502704,-1.7887393103705511,26.068291511064693,0.6029740789974177,81,27
27,-20.104616553695113,-8.4265439775255,0.7799252050894278,-2.187142336810077,26.149072223239475,0.6044455602029224,81,27
28,-20.24905565049913,-9.190317595446551,0.7761895060539246,-2.980801547015155,26.26497471185378,0.6015919097411779,81,27
29,-20.202987553160867,-10.373561523578784,0.7974702340585215,-3.993799651110614,26.338540018340687,0.6135552556794367,81,27
30,-20.181160279262212,-10.382606241438124,0.7736317184236314,-4.193552494049072,26.193501319414302,0.6012341179597525,81,27
