轮次,训练总损失,训练重构误差,训练KL散度,验证总损失,验证重构误差,验证KL散度
1,0.9946667410614034,0.9252606559635173,138.81216584897106,0.6024560364148089,0.579593782206528,45.724493390731226
2,0.5371650957032998,0.47915763811602424,116.01490824820218,0.5670820638423658,0.5017694580645962,130.62520523653686
3,0.463035013476472,0.4107893196077681,104.4913841926184,0.4305708007958099,0.3817254370860471,97.69071814850086
4,0.4207700198551394,0.37281743182004945,95.9051710678882,0.3898200652071538,0.3472646142690236,85.11089528789957
5,0.3880308539558935,0.343922587498179,88.21652980506259,0.3687886850524495,0.32570168171220154,86.17400983271708
6,0.393925593709046,0.34275154741305225,102.34808855493756,0.37484957266399876,0.3329243063926697,83.85052699897126
7,0.3638791051515029,0.32766938852171373,72.41943190746873,0.35137491098797047,0.3189879883336657,64.77384296446355
8,0.34159929162729785,0.3118376161531618,59.523344487192816,0.35768742347491606,0.3262762582029095,62.82231897252207
9,0.3413686090402526,0.30884821339437585,65.0407900745978,0.3402816987674655,0.3110213645996938,58.52066275909657
10,0.3334256640341725,0.3036751453927906,59.50102443643657,0.36524161286936463,0.33629864386019814,57.885938222171696
11,0.3353694974572832,0.30447358905144456,61.79181560094787,0.3447517754922386,0.31709073154070905,55.32210074854261
12,0.3287655709567417,0.2986368303992999,60.25747024659519,0.34525840428039317,0.3191817994336136,52.15321085107235
13,0.32690182111333965,0.2966870771585449,60.42948796357106,0.3256574816831196,0.2992982946279395,52.718366375406276
14,0.3243894238034991,0.29536443956778696,58.04996838016973,0.338473821414336,0.31254231429282037,51.86300906698212
15,0.3230318626303557,0.2941126747915366,57.838373559504504,0.31956148807329077,0.29179641513424065,55.53014324275592
16,0.3164882287182255,0.2895088252031578,53.958805875958134,0.32849511686172195,0.30224463047872063,52.50096607936248
17,0.31693297720983665,0.28937052628100723,55.124896334830645,0.3253605488602442,0.30071191546571163,49.29724843265446
18,0.3153195853503245,0.28846977068728835,53.69962634680406,0.3230857057425812,0.29921120882944297,47.748995191268335
19,0.31303511796935873,0.28619348536925815,53.68325887921686,0.32747056943769676,0.30352944385914404,47.882234238486255
20,0.31946005035603464,0.2916316524991449,55.65679510070307,0.3185487953761152,0.2904439341020948,56.209721456047234
21,0.3126801535125691,0.28502955333884517,55.30119235303524,0.31975623078018656,0.2940084101589581,51.49564891553107
22,0.31092352076682117,0.28513288505957773,51.58126531842584,0.31758222029409333,0.2938816779442416,47.40108137640334
23,0.31197445813536323,0.2865557244845799,50.83746629905187,0.3175340579211257,0.29325402783983534,48.56006074861716
24,0.313586578375567,0.2876027015984219,51.96774999407745,0.3104272719102961,0.2878642357487715,45.12606928002743
25,0.30686069289950346,0.28201078300206167,49.69981452139883,0.3178502289393476,0.29453989817895965,46.620660709060786
26,0.3082115885543052,0.2829010589424812,50.6210597570373,0.31263146805399245,0.28932974720729215,46.6034351669195
27,0.3068379564587318,0.2818620562392746,49.9517972488609,0.3169236879312355,0.2953840216607538,43.07933125969108
28,0.3081040043393878,0.28404959658728135,48.1088251489192,0.3118368673870582,0.2894013878953366,44.87095467370885
29,0.30488695609923,0.28081909520928106,48.13572372066364,0.3104436825249941,0.28800658005794494,44.874202640912
30,0.30731221398895964,0.28285562638645223,48.91317445698453,0.31710233328906634,0.29456413838699574,45.07638974954154
31,0.30698483170203444,0.28295309652858025,48.06347707661014,0.3114441903947874,0.28820839183021135,46.47160773240883
32,0.30694579885333695,0.28307271413404667,47.74616778186068,0.31302066204202084,0.2913437690443665,43.353805949669756
33,0.3053418288655037,0.28119334699008663,48.29696873256138,0.33164508128894193,0.3080319976078645,47.22616926586355
34,0.30490871982754403,0.2822639896381255,45.28945548579378,0.30785275506609266,0.28542380979042925,44.85789035476801
35,0.3011187011340879,0.27833220113641166,45.57299666905981,0.30862340422077034,0.2880358691433914,41.17507468653089
36,0.3018724486191639,0.27934420912092267,45.05647586298117,0.31075073221257626,0.29008424282073975,41.33295985214583
37,0.30275757767440814,0.28006034599481566,45.394463891288986,0.30661970627216895,0.28406764305274906,45.104126937516774
38,0.30023561430105944,0.27787498041304615,44.72126393690906,0.304891852249626,0.28351987545726864,42.74394167834566
39,0.2974602274014301,0.27540370315875645,44.11304305248826,0.30307257516693525,0.2816771864891052,42.79077381396112
40,0.2988838072253687,0.27685686070321386,44.053886701475896,0.31077261348717083,0.2908097746718021,39.92567108969652
41,0.30010531718197536,0.2778485937099251,44.51344567681901,0.3046149022251595,0.28278836607933044,43.6530722115786
42,0.2968125941779093,0.2750392419629984,43.54670185798583,0.30532434150462845,0.28254471685140187,45.559260390187035
43,0.29841201935174333,0.2766409696273084,43.54210198086227,0.3071921292607111,0.2866528739456002,41.07851206073324
44,0.29607458440762646,0.27433916187350643,43.47083817145253,0.3050833840406578,0.28492815257938764,40.310467494353084
45,0.2962536478460317,0.27467304452088964,43.16120759496149,0.30177433709151874,0.28086920730940257,41.81025058076582
46,0.2968907420525975,0.27497235735792996,43.83675985002132,0.31097888741784424,0.28898432168341776,43.989124589293965
47,0.29736546509349443,0.2755283301249347,43.67426834723378,0.30346737381156164,0.28337154133629255,40.19167223049484
48,0.2925392910637303,0.27095215629053243,43.17427067101163,0.30190438532647285,0.28041450713427013,42.97974494759363
49,0.2918400585330079,0.2698569166049803,43.96628197312676,0.30171537467541587,0.28070045723259907,42.029832912765386
50,0.29125869900711143,0.2686672838871691,45.18283135550363,0.30013088074349265,0.2776615667434139,44.93863806105752
51,0.28975392504522424,0.26734437582627785,44.81908728298794,0.3009186157288442,0.2782327039096192,45.37183071456793
52,0.2892822560595695,0.26642425924619895,45.715996343813174,0.2979029442062815,0.2773178915941078,41.170110717074564
53,0.286513074067725,0.2641186783255914,44.78878627890204,0.3109011513586263,0.28934110621459613,43.120085039211595
54,0.28601744031970394,0.2623073776777221,47.420124927942325,0.2997724875694013,0.2759500195961872,47.64492867739146
55,0.28633369686147275,0.26158886360672284,49.48966322947705,0.2987628506340143,0.27487393098933094,47.77784405773833
56,0.2827133429500292,0.2578699084305056,49.68686480663536,0.2919350241431753,0.2674922251519356,48.88559862675557
57,0.27766395040920805,0.25325905979482954,48.80978341115453,0.29380163254628655,0.2707639005575471,46.075463447862
58,0.28673327178003977,0.2611414052726766,51.18373179885576,0.2922718347483919,0.2670663572449721,50.41093206041642
59,0.27981480096549677,0.25452578686318306,50.57802867632349,0.29419866045012727,0.26952052571391333,49.35626599260869
60,0.280726967555172,0.2547628676312953,51.928196261835225,0.2995480769918165,0.2761202313517796,46.85570197069008
61,0.2789933674258363,0.2537346702380322,50.517395399972756,0.3067518085923814,0.2833705328348029,46.76253960878795
62,0.2787774659070686,0.25336539464176827,50.824138569382,0.2873693804704506,0.262969913487216,48.79894419662825
63,0.2744593772123445,0.24930783331072875,50.30308709568733,0.2880593451834817,0.2638046354737901,48.50940876152679
64,0.2726685689947997,0.24762062579795036,50.09588673429669,0.2887646903973499,0.26443153870014746,48.66631069620147
65,0.2715039800280188,0.2466256078684105,49.756740354142096,0.28421448228013424,0.2600824133357929,48.26413132762181
66,0.2713290187065813,0.24607658486642606,50.50486460271871,0.28763129397202997,0.26340545065530385,48.451700865767386
67,0.269650996213332,0.24471948655307132,49.863010961733096,0.2829915373834945,0.25921705854303057,47.54894087696803
68,0.26919041626215623,0.24436323911031943,49.65435064063882,0.2831397845999885,0.2584485726729604,49.382414140774095
69,0.27044316114119765,0.2449789331608384,50.928450283657185,0.2889819229377135,0.2655398440725021,46.8841623204355
70,0.2705296198473465,0.24485113357276608,51.35696827562029,0.29205530563383614,0.2672583622331838,49.593889833406635
71,0.2719872428400497,0.24624249355169642,51.489499176930224,0.283313212958911,0.2585840648367205,49.45830358257731
72,0.2677124893729578,0.2420329022600323,51.35916754627485,0.2920899509473611,0.2674856365637015,49.20863077294735
73,0.2657303961942781,0.24057594070216073,50.308912272080576,0.28402605812058196,0.25884579042441974,50.360516613676346
74,0.26746461092622453,0.24203878914249555,50.85163992498763,0.2858882992322208,0.2611369822771495,49.50262125029818
75,0.2670729382018837,0.24145467470919668,51.236521738880086,0.2838424221249937,0.25891460193932514,49.855634296213395
76,0.263712244213752,0.23797244275355275,51.47959655185915,0.28649943452755006,0.26220338126175274,48.592103710611354
77,0.26459878072584414,0.23936691446445701,50.46371947337354,0.2840343224638291,0.25980129246493333,48.466037924963096
78,0.26393616336053916,0.23832240066117033,51.22752764925481,0.28642520194745247,0.26127012358366986,50.31015224311188
79,0.26489360634528725,0.2390168342950209,51.75353549432883,0.288989914055089,0.26488688178644837,48.20606097738251
80,0.26489108495635166,0.23886011830076695,52.06193185688029,0.2858349712750384,0.26091256487460535,49.84481415493798
81,0.26477883133605484,0.23883818905308563,51.88128671363358,0.28670618916285856,0.26170790036216035,49.996571315153865
82,0.2629852908640859,0.23753721518015283,50.89614749918729,0.2873113514812848,0.26214707409607546,50.32856205947527
83,0.26413464883588395,0.23742889490410324,53.41150882237684,0.2878153378726872,0.26203184000408375,51.56701127263426
84,0.2624678756348849,0.23652595092826134,51.883850837974855,0.28583395663108535,0.26081426646418243,50.03938447792112
85,0.2617459687582566,0.23559493404835705,52.302068951958915,0.28891496576425685,0.26356088216523177,50.708164826604246
86,0.2605738098409298,0.23415370618879314,52.84020865509773,0.28556956293928715,0.2602864768896394,50.56617317490905
87,0.2600022867683452,0.2338899017745915,52.22476459513456,0.2856743727021545,0.26038936326521955,50.570011546593584
88,0.26128315949697056,0.23505048578318882,52.46533940358946,0.2870159401693417,0.2618743208528475,50.283228517488666
89,0.2593669989359668,0.23295116749895872,52.8316650390625,0.28968247020517596,0.2645432284770121,50.27847878259557
90,0.2587574844090444,0.23198162698038827,53.551711593998085,0.2902456988360136,0.2650885969855403,50.31419197839635
91,0.26240642975282796,0.2355265643477761,53.75972862963407,0.2954195130417365,0.26861402369637527,53.61097332903447
92,0.25903471734003236,0.23228212933977338,53.50517327444894,0.28889984552186865,0.2632907656312899,51.21815438306969
93,0.25582355345195196,0.22937459540816973,52.89791995560063,0.29235575877073156,0.26712998884324807,50.45154720044318
94,0.25516509355078487,0.22860888200950108,53.11242239815848,0.2937077707006731,0.26836152204120434,50.69250744535723
95,0.2569564155973193,0.23020397701032078,53.504871255303975,0.3090321771971142,0.28271000667382745,52.64435577392578
96,0.25957675707950745,0.23307270478366843,53.0081035377523,0.2905422487786708,0.26473924221883294,51.60602225966126
97,0.2543032031978237,0.22746733433474106,53.6717303705344,0.2907464213043679,0.264337167598819,52.818504624694356
98,0.25419253793688157,0.22741775515908502,53.54956040292416,0.2992631706572671,0.2728219812607947,52.88238539950538
99,0.2532358576827293,0.22634449324035902,53.782728961214545,0.301257116648987,0.2755070492511487,51.5001335144043
100,0.25056759752031926,0.22386934220630203,53.396509566397036,0.2941329276743736,0.26846811744092985,51.32960152080041
101,0.2505746466933556,0.22375980461382802,53.629681538378776,0.2956113747058024,0.2696824974686135,51.85774551275122
102,0.25135049814323207,0.22373708548410884,55.2268231024318,0.2961319664507422,0.2698762191615942,52.51149726459998
103,0.24972327780530781,0.22264603149858767,54.15449028323603,0.2957069903384638,0.268677030810873,54.05991905154163
104,0.24850731814967975,0.22125852879166924,54.49757490132376,0.29370990987042433,0.26772905670049535,51.96169382925252
105,0.24706279681217316,0.2198492365705999,54.427115725699785,0.29504295569339783,0.2684417983502832,53.20231281892034
106,0.24549038013358002,0.2182437065797996,54.49334254097746,0.2990102383471627,0.2721846763414281,53.65112153264403
107,0.2504565423389651,0.2225518265181796,55.809422865710815,0.30111811361240065,0.27396550615325227,54.305205308754026
108,0.24588548382016204,0.21796765003724883,55.8356636438087,0.2974486255463753,0.27068735442998754,53.522519089793434
109,0.24350546224098,0.21547892617408157,56.053068104458625,0.2957905635578942,0.26867817615279715,54.22475730371839
110,0.24281477847831912,0.2148511098883544,55.927335939638695,0.30420099005444357,0.27690993329040875,54.582119104516416
111,0.24407302301045697,0.2159052498417723,56.335544719850276,0.3017186540683717,0.27455794879498374,54.32140600772304
112,0.242015147345728,0.21369577867965492,56.63873422627822,0.29596514806492635,0.268293724829004,55.3428424514887
113,0.23905749317770697,0.21107024167265212,55.97450195682659,0.2963233883599289,0.26879077535549195,55.06522657671047
114,0.23915941832521856,0.2109649741264045,56.38888856214333,0.2996093987963582,0.27250875885250003,54.2012834912948
115,0.24164121861085094,0.21268601783844981,57.91040053457584,0.30059559131396635,0.27360495731575796,53.98126348830361
116,0.23845070243042435,0.20974551313970932,57.41037916815827,0.3030771412922226,0.2749917693720519,56.17073373576157
117,0.23719646032608424,0.20851516530841507,57.36258942226194,0.29996731217580896,0.27223713821127216,55.46034729935741
118,0.23775131675110994,0.2090020346031035,57.49855907265388,0.29989528929004233,0.2724513004299339,54.88796216658964
119,0.23452277814924236,0.20594238515973412,57.16078260067017,0.31142553072849305,0.283380743428951,56.08955196933892
120,0.23557946435364108,0.2066316994213351,57.89552444910425,0.3042426343637568,0.2763300763286707,55.8251272885854
