方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离
特征约束WGAN-GP,均方根_RMS,0.019871395276507355,0.019019340738901637,4.287844540892244,0.006194364820310306,0.00654464301670228,5.654787964488659,0.317559167616976,0.0016624224836269195
特征约束WGAN-GP,峰值_Peak,0.06484540053915322,0.056469531691412334,12.916673777894893,0.013322823315486577,0.007790496438766649,41.52518385403975,0.223716589440212,0.008375868847740886
特征约束WGAN-GP,峰峰值_PeakToPeak,0.12137443612394737,0.10766175534802341,11.297832734569914,0.024503759509958648,0.015152183605759834,38.16384134857581,0.25557241817218973,0.013712680775923962
特征约束WGAN-GP,偏度_Skewness,-0.11217979618308442,-0.08897401588352317,20.68623859993568,0.11784358095383264,0.09011118105336356,23.533229112494823,0.08528743928849303,0.038604328444908735
特征约束WGAN-GP,峭度_Kurtosis,2.676887864099745,2.723373652050722,1.7365608987357835,0.34885109577561985,0.36372856020753147,4.264703368292736,0.08597872167299182,0.08099605059432545
特征约束WGAN-GP,峰值因子_CrestFactor,3.376791061653246,3.1617695701609554,6.367627951104393,0.4805442385290546,0.6101110453228025,26.962513834331283,0.07539854398774141,0.21502149149229036
特征约束WGAN-GP,频率重心_Hz,1096.0552237507045,1127.5521821187149,2.873665275753868,353.53888036796917,423.71453514195167,19.849487191038875,0.24528095672807884,107.01489842713616
特征约束WGAN-GP,0到1kHz能量占比,0.6599279432157471,0.6408657062487231,2.888533083491998,0.1635673172604823,0.18574532214866318,13.558946407812417,0.22436135328912266,0.04079510079523952
特征约束WGAN-GP,1到3kHz能量占比,0.250237199148208,0.2707538207873429,8.198869596083314,0.13438672206315216,0.14232365583479145,5.906040157635838,0.17586034254857247,0.03430237718255079
特征约束WGAN-GP,3到5kHz能量占比,0.08979808398546973,0.0806116276342776,10.230125124469586,0.03479106707298746,0.037026107328526445,6.4241785133692515,0.1327500963460735,0.009809125127336959
特征约束WGAN-GP,一倍频能量占比,0.0923893787756238,0.05279637011749385,42.85450252226147,0.042951187805842804,0.04506181429608188,4.914011923793223,0.34549714081408167,0.04328637988414463
特征约束WGAN-GP,二倍频能量占比,0.0026139219102549994,0.0019567423264962606,25.141515549070586,0.0012685707346363454,0.001586296581795787,25.045970101151887,0.14648846194529458,0.0007802759326323014
特征约束WGAN-GP,三四倍频能量占比,0.4978631638237974,0.5062983576784429,1.694279566667016,0.24627859907819133,0.21733277142735458,11.753285814951859,0.3081064112064222,0.06529105945414558
