方法,生成样本数量,平均均值相对误差_%,平均标准差相对误差_%,平均JS散度,平均Wasserstein距离,MMD距离
传统加噪扩充,1746,0.2811905991829968,0.31735425060123473,0.0038561836539101704,0.3046948182136315,3.993003360824865e-05
VAE残差扩充,1746,2.429743202428688,12.975153809050964,0.07084313733782747,0.6900376983946294,0.02818252755002959
普通WGAN-GP,1746,7.870116240751272,22.60938751576121,0.20484951079134625,9.01099185557894,0.07575618246701832
残差特征约束WGAN-GP,1746,0.030063411274431642,0.04572145126436616,0.0011064474015176748,0.04075310695384674,3.9117226546814265e-07
