方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离
残差特征约束WGAN-GP,均方根_RMS,0.019871395276507355,0.019820856251023103,0.2543305328008749,0.006194364820310306,0.006112789426010877,1.3169291227211377,0.009252198115387272,5.280114614318325e-05
残差特征约束WGAN-GP,峰值_Peak,0.06484540053915322,0.05887887626886368,9.201152619290218,0.013322823315486577,0.0057322274176739305,56.97437936011297,0.2380979355584693,0.0059930953535359075
残差特征约束WGAN-GP,峰峰值_PeakToPeak,0.12137443612394737,0.11142145064824772,8.200232102791126,0.024503759509958648,0.011362690927856384,53.62878531445461,0.2302963442577189,0.009988559463316359
残差特征约束WGAN-GP,偏度_Skewness,-0.11217979618308442,-0.11127932977096872,0.8026992762921952,0.11784358095383264,0.11404120168371944,3.2266324896988565,0.01838278156881698,0.0047616166838746875
残差特征约束WGAN-GP,峭度_Kurtosis,2.676887864099745,2.6504494406513333,0.9876552470864584,0.34885109577561985,0.3778789913239382,8.320998815754278,0.08252207117584986,0.026450796089084967
残差特征约束WGAN-GP,峰值因子_CrestFactor,3.376791061653246,3.163097419078305,6.328305147498679,0.4805442385290546,0.6685544352568518,39.12443052129913,0.17830412096422765,0.2136936425749407
残差特征约束WGAN-GP,频率重心_Hz,1096.0552237507045,1094.9233818592254,0.10326504239502922,353.53888036796917,355.2614201735599,0.48722782733199255,0.0023119929698096108,1.5521038554908564
残差特征约束WGAN-GP,0到1kHz能量占比,0.6599279432157471,0.6604638930585103,0.08121338826035208,0.1635673172604823,0.16431208232687347,0.455326332216222,0.0018082050955264188,0.0006779978160595977
残差特征约束WGAN-GP,1到3kHz能量占比,0.250237199148208,0.24980300247993528,0.17351403778054744,0.13438672206315216,0.13488377833508872,0.3698700766726587,0.0006444844128739215,0.0005158029543609281
残差特征约束WGAN-GP,3到5kHz能量占比,0.08979808398546973,0.089673566061231,0.1386643441718572,0.03479106707298746,0.03502588130026379,0.6749267758214152,0.0023040663022662238,0.00023757713075560802
残差特征约束WGAN-GP,一倍频能量占比,0.0923893787756238,0.09223885086171953,0.16292772599782382,0.042951187805842804,0.043111533218273504,0.3733200887290814,0.003659127065780544,0.00018480206964556703
残差特征约束WGAN-GP,二倍频能量占比,0.0026139219102549994,0.0026031690304976207,0.41136958648531174,0.0012685707346363454,0.0012808607512780953,0.9688081473505652,0.0035296517933068854,1.7037643050350347e-05
残差特征约束WGAN-GP,三四倍频能量占比,0.4978631638237974,0.49847785415040397,0.12346571734374459,0.24627859907819133,0.24710172399410624,0.33422510887770257,0.0012852906445764466,0.0007283545919573458
