方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离
残差特征约束WGAN-GP,均方根_RMS,0.019871395276507355,0.019874741594261253,0.016839873130021915,0.006194364820310306,0.00619694958444294,0.041727670345511406,0.00011379326320812234,4.102907998045693e-06
残差特征约束WGAN-GP,峰值_Peak,0.06484540053915322,0.06484680516135378,0.0021661092211090614,0.013322823315486577,0.01331153339717509,0.08474118468204928,0.0037951928461867793,8.320572859642843e-05
残差特征约束WGAN-GP,峰峰值_PeakToPeak,0.12137443612394737,0.12139503308758566,0.016969770814909167,0.024503759509958648,0.02451807079957872,0.058404464889031144,0.0022920941383350393,0.00010802029266117086
残差特征约束WGAN-GP,偏度_Skewness,-0.11217979618308442,-0.11209139239762025,0.07880544311125166,0.11784358095383264,0.11784855116134517,0.004217631093909952,0.001192034662599158,0.0003852973155915217
残差特征约束WGAN-GP,峭度_Kurtosis,2.676887864099745,2.677112121216074,0.008377531212135097,0.34885109577561985,0.3485422029047464,0.08854576483005451,0.0011664158906249434,0.0009500961260014518
残差特征约束WGAN-GP,峰值因子_CrestFactor,3.376791061653246,3.376564920299624,0.006696930591582778,0.4805442385290546,0.48100015090370757,0.09487417350951427,0.002611873551722394,0.003220139414349994
残差特征约束WGAN-GP,频率重心_Hz,1096.0552237507045,1096.481038586486,0.03884976108451234,353.53888036796917,353.40969068037793,0.03654186138078295,0.0003439309534584152,0.5243735988950071
残差特征约束WGAN-GP,0到1kHz能量占比,0.6599279432157471,0.6598195772434564,0.016420879492156887,0.1635673172604823,0.16355097400532187,0.00999176084443317,0.00029167977940533924,0.0001667400167023877
残差特征约束WGAN-GP,1到3kHz能量占比,0.250237199148208,0.2502455933708676,0.003354506319651911,0.13438672206315216,0.13439839311099946,0.008684673357631957,0.0001022677431036468,0.00012517789589990043
残差特征约束WGAN-GP,3到5kHz能量占比,0.08979808398546973,0.08987379124236612,0.08430832099690956,0.03479106707298746,0.03478556973492624,0.015801004463379315,0.0009157404821908655,0.00010109744018705437
残差特征约束WGAN-GP,一倍频能量占比,0.0923893787756238,0.09235793567942147,0.034033236957196164,0.042951187805842804,0.042941278283058916,0.023071591939325297,0.0003294523151509849,5.967375147076407e-05
残差特征约束WGAN-GP,二倍频能量占比,0.0026139219102549994,0.0026125600524161347,0.05210017303886583,0.0012685707346363454,0.0012675526337246584,0.08025574633615298,0.0011601665033825516,4.576821904842829e-06
残差特征约束WGAN-GP,三四倍频能量占比,0.4978631638237974,0.49770433646024026,0.031901810597308955,0.24627859907819133,0.24616156419081725,0.04752133876498387,6.917409036153507e-05,0.00020866379363703423
