方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离
残差特征约束WGAN-GP,均方根_RMS,0.019871395276507355,0.019836458775992553,0.17581302181808803,0.006194364820310306,0.006165365339304744,0.46815907428951675,0.011296338431883221,9.906064358380947e-05
残差特征约束WGAN-GP,峰值_Peak,0.06484540053915322,0.05881775542453597,9.295408871574237,0.013322823315486577,0.005808703060899753,56.40035956408981,0.24385732448206782,0.00604429283101466
残差特征约束WGAN-GP,峰峰值_PeakToPeak,0.12137443612394737,0.11127969952468747,8.317020388764567,0.024503759509958648,0.011528767755109455,52.95102471539715,0.2302526435168964,0.010098457127331595
残差特征约束WGAN-GP,偏度_Skewness,-0.11217979618308442,-0.11090418928137336,1.1371093058662938,0.11784358095383264,0.11206051216788028,4.907410941771117,0.019595449960930926,0.006669445477303636
残差特征约束WGAN-GP,峭度_Kurtosis,2.676887864099745,2.651127166764433,0.962337559252434,0.34885109577561985,0.38258944080939217,9.671273916644376,0.09070899240332728,0.02918272439010638
残差特征约束WGAN-GP,峰值因子_CrestFactor,3.376791061653246,3.1600112201723762,6.419699576398194,0.4805442385290546,0.6721371607459361,39.86998633111252,0.18049215709246874,0.21677984148086943
残差特征约束WGAN-GP,频率重心_Hz,1096.0552237507045,1093.6383797206158,0.22050385580192014,353.53888036796917,356.91953353729485,0.9562323571899739,0.006099165717116729,4.411083872991437
残差特征约束WGAN-GP,0到1kHz能量占比,0.6599279432157471,0.660607986450878,0.1030481042848613,0.1635673172604823,0.16514464570635803,0.9643298381877781,0.005924474899996773,0.0022068135824400113
残差特征约束WGAN-GP,1到3kHz能量占比,0.250237199148208,0.25021791369158175,0.007706870398102993,0.13438672206315216,0.13557246488836575,0.8823362955810052,0.00434438072091445,0.001918914571046009
残差特征约束WGAN-GP,3到5kHz能量占比,0.08979808398546973,0.08913606536902172,0.737230224809437,0.03479106707298746,0.035103929278047966,0.8992601589228856,0.008597748113025157,0.0007916879664172012
残差特征约束WGAN-GP,一倍频能量占比,0.0923893787756238,0.0924701939079855,0.08747231925554479,0.042951187805842804,0.04314653794217113,0.4548189382022286,0.0050554368609431405,0.000472435395938492
残差特征约束WGAN-GP,二倍频能量占比,0.0026139219102549994,0.002603414257139422,0.401988026892992,0.0012685707346363454,0.0012644232723116372,0.32693977625360404,0.006070911615533812,2.840919226630967e-05
残差特征约束WGAN-GP,三四倍频能量占比,0.4978631638237974,0.49824681802986687,0.07706017113659402,0.24627859907819133,0.24807742052199167,0.7304010379001391,0.0039793794850047914,0.0031863987821347346
