方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离
普通WGAN-GP,均方根_RMS,0.019871395276507355,0.018766000345754697,5.562744413845295,0.006194364820310306,0.006336426793686578,2.293406628029731,0.31449685199901567,0.0016741409384670057
普通WGAN-GP,峰值_Peak,0.06484540053915322,0.054746278848622806,15.57415268686156,0.013322823315486577,0.00790699136262147,40.65078267729622,0.2288169874609554,0.010099121690530411
普通WGAN-GP,峰峰值_PeakToPeak,0.12137443612394737,0.10341414568982037,14.797424406271192,0.024503759509958648,0.015198083155389102,37.976524991635806,0.24023895610517895,0.017960290434127002
普通WGAN-GP,偏度_Skewness,-0.11217979618308442,-0.11511649867851496,2.617853299190777,0.11784358095383264,0.06907563397275189,41.383626147420486,0.11017119712724857,0.03667426106396497
普通WGAN-GP,峭度_Kurtosis,2.676887864099745,2.5418525618785845,5.044488565699526,0.34885109577561985,0.39566336170661837,13.418982052151518,0.11399378151024425,0.1357982146371271
普通WGAN-GP,峰值因子_CrestFactor,3.376791061653246,3.092396358186123,8.422040282462776,0.4805442385290546,0.5811047533895805,20.92638029916501,0.07928451119354578,0.28439470346712303
普通WGAN-GP,频率重心_Hz,1096.0552237507045,1096.6993831729633,0.05877070865594389,353.53888036796917,436.7417271128823,23.534284732223504,0.2425296313907389,116.47603060504755
普通WGAN-GP,0到1kHz能量占比,0.6599279432157471,0.6614497032481643,0.23059487752550145,0.1635673172604823,0.19415395988647735,18.69972751163888,0.23741544836024933,0.045584070049268954
普通WGAN-GP,1到3kHz能量占比,0.250237199148208,0.24984021010656093,0.15864509473284896,0.13438672206315216,0.1525493662060247,13.515207353746025,0.20283672068131733,0.03359499912845549
普通WGAN-GP,3到5kHz能量占比,0.08979808398546973,0.08818544163758027,1.7958538493231642,0.03479106707298746,0.04277469507900184,22.94735021790571,0.13281307486934835,0.00918421136985564
普通WGAN-GP,一倍频能量占比,0.0923893787756238,0.06901431937841619,25.30059159042849,0.042951187805842804,0.03813862999305545,11.20471413836112,0.30279777487375154,0.02389053961895924
普通WGAN-GP,二倍频能量占比,0.0026139219102549994,0.002200807540441461,15.804388342083003,0.0012685707346363454,0.0018183974019117945,43.34221591511355,0.12714731838923196,0.0007281622519652038
普通WGAN-GP,三四倍频能量占比,0.4978631638237974,0.5324345977735819,6.943963012686457,0.24627859907819133,0.25620075757442756,4.02883504020816,0.3305013863266754,0.06728080282881771
