特征名称,真实Q5,生成Q5,Q5相对误差_%,真实Q25,生成Q25,Q25相对误差_%,真实中位数,生成中位数,中位数相对误差_%,真实Q75,生成Q75,Q75相对误差_%,真实Q95,生成Q95,Q95相对误差_%,KS统计量,KS检验p值,Wasserstein距离,直方图重叠度
均方根_RMS,0.01436990057118237,0.014371779514476657,0.013075548329986609,0.014903240138664842,0.014901710208505392,0.010265755266049037,0.01690466795116663,0.01690287236124277,0.010621858583318143,0.025573585648089647,0.025576444808393717,0.011180130714956266,0.031012200750410557,0.0310185132548213,0.02035490632007661,0.004581901489117984,1.0,4.102907998045693e-06,0.9914089347079036
峰值_Peak,0.048075455240905285,0.04817250557243824,0.20187085290117152,0.05419742036610842,0.054292418994009495,0.17528256374122647,0.06103835441172123,0.061080072075128555,0.06834663845169327,0.0742423590272665,0.07419485971331596,0.06397872396869028,0.08955638855695724,0.08957751654088497,0.02359182216693963,0.006300114547537228,0.9999999999999956,8.320572859642843e-05,0.9513172966781214
峰峰值_PeakToPeak,0.09203135967254639,0.09226688928902149,0.25592321716268873,0.1020956039428711,0.10206529125571251,0.0296904920365127,0.11207103729248047,0.11212417855858803,0.04741748393779755,0.14068007469177246,0.14074572175741196,0.04666408216150066,0.16600608825683594,0.1660202294588089,0.00851848394318991,0.006300114547537228,0.9999999999999956,0.00010802029266117086,0.9650630011454754
偏度_Skewness,-0.3162055015563965,-0.31581156700849533,0.12458181339695888,-0.1648694910109043,-0.16485664248466492,0.007793149697094303,-0.12157043069601059,-0.12171318009495735,0.11742115095613648,-0.04681050218641758,-0.04666351433843374,0.3140061334854611,0.0832266379147768,0.0832769013941288,0.06039349973846439,0.006872852233676976,0.9999999999988481,0.0003852973155915217,0.9667812142038946
峭度_Kurtosis,2.12590891122818,2.127603054046631,0.07969028256584101,2.295062780380249,2.2954447269439697,0.016642096546799268,2.7872201204299927,2.7864056825637817,0.029220435811327293,2.956886947154999,2.9563326239585876,0.018746851209319768,3.1306182146072388,3.12993848323822,0.021712368689569366,0.005154639175257732,1.0,0.0009500961260014518,0.9696449026345932
峰值因子_CrestFactor,2.6461477623811898,2.6411958541027474,0.18713649890754544,2.9732998297029605,2.974172929264771,0.029364665920612126,3.3796872758862317,3.388381943651596,0.2572624937045863,3.697285725712271,3.6923138901077435,0.13447258268275913,4.192687528563881,4.191532217113708,0.027555391197217474,0.00859106529209622,0.9999999538816744,0.003220139414349994,0.9530355097365406
频率重心_Hz,609.9559373610042,610.8118478092156,0.1403233243231471,650.0912066608159,650.6645475776002,0.08819391970077163,1186.6557458228713,1186.9024261713912,0.02078786112891344,1421.8811729637532,1423.1358043787877,0.08823743072843206,1525.6091422489271,1526.18570652042,0.03779239751033787,0.009736540664375716,0.9999971357604965,0.5243735988950071,0.9833906071019474
0到1kHz能量占比,0.45556699484586716,0.455676406621933,0.02401661606381379,0.5050165355205536,0.5050516426563263,0.006951680450710063,0.6229058504104614,0.6227414906024933,0.026385979174793676,0.8585095703601837,0.8584216237068176,0.01024410867418622,0.8790572732686996,0.8789575695991516,0.011342113031746117,0.006300114547537228,0.9999999999999956,0.0001667400167023877,0.9856815578465065
1到3kHz能量占比,0.0751142930239439,0.07523542456328869,0.16126296935865764,0.096117177978158,0.09612642042338848,0.009615810019399587,0.27514077723026276,0.27518483996391296,0.016014614079966665,0.3763620927929878,0.37615618854761124,0.054709081844035314,0.421878382563591,0.4221017211675644,0.052939096479823734,0.004009163802978236,1.0,0.00012517789589990043,0.9908361970217638
3到5kHz能量占比,0.0411469517275691,0.04117197636514902,0.06081771924441934,0.04854045156389475,0.048597510904073715,0.11755008109614039,0.09826216101646423,0.09828219935297966,0.020392729315066867,0.11797505244612694,0.11790421046316624,0.060048274182756003,0.13917188718914986,0.1394418179988861,0.19395498270958036,0.0074455899198167235,0.9999999999090496,0.00010109744018705437,0.9742268041237112
一倍频能量占比,0.02974080154672265,0.029757946263998747,0.057647125779665374,0.042227436788380146,0.04219650570303202,0.07324878728113611,0.10167039558291435,0.10175924003124237,0.08738477687409982,0.13102076575160027,0.13097504153847694,0.034898447479432534,0.14141441136598587,0.14134803414344788,0.04693808919215329,0.006300114547537228,0.9999999999999956,5.967375147076407e-05,0.9828178694158075
二倍频能量占比,0.0009932118118740618,0.000992238608887419,0.09798544218141708,0.001443380257114768,0.001438663515727967,0.3267843910350865,0.002414203016087413,0.002418606192804873,0.1823863480533761,0.0037417493294924498,0.003724902926478535,0.4502279956764949,0.00466967117972672,0.004669077694416046,0.0127093597751213,0.0074455899198167235,0.9999999999090496,4.576821904842829e-06,0.9662084765177548
三四倍频能量占比,0.21556062623858452,0.2155773751437664,0.007769927873223573,0.254060797393322,0.2540794387459755,0.007337358948996213,0.43886598944664,0.43856319785118103,0.06899408993621951,0.8016782104969025,0.8012053817510605,0.05897986743937044,0.8203198313713074,0.8201771825551987,0.017389414549452913,0.010882016036655211,0.9999495071646038,0.00020866379363703423,0.9919816723940434
