方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离
加噪扩充,均方根_RMS,0.019871395276507355,0.01989979255903952,0.14290532766114802,0.006194364820310306,0.006204193516917878,0.15867158120487984,0.001559410112028902,2.844446527538021e-05
加噪扩充,峰值_Peak,0.06484540053915322,0.06499490627905893,0.2305572001411852,0.013322823315486577,0.013410858012510197,0.6607810892056184,0.0069273778906675815,0.00018489116723867892
加噪扩充,峰峰值_PeakToPeak,0.12137443612394737,0.12163543675995228,0.2150375683197646,0.024503759509958648,0.02465041617387692,0.5985067877142883,0.003096273740487552,0.0002975235783835319
加噪扩充,偏度_Skewness,-0.11217979618308442,-0.11167447979310466,0.4504522268435486,0.11784358095383264,0.11758143316646284,0.22245402358425886,0.003771646753526513,0.0009070391255781597
加噪扩充,峭度_Kurtosis,2.676887864099745,2.678615428191553,0.06453628913546339,0.34885109577561985,0.3470316200030312,0.5215622925128164,0.004748918752049025,0.0026053489278681902
加噪扩充,峰值因子_CrestFactor,3.376791061653246,3.3788697171918516,0.06155712629692104,0.4805442385290546,0.4784629068156443,0.4331196894123459,0.005563431504076006,0.005398224578521406
加噪扩充,频率重心_Hz,1096.0552237507045,1100.000857153272,0.3599849092516923,353.53888036796917,352.7093887220515,0.23462529639013047,0.004238292733573764,3.94732635214104
加噪扩充,0到1kHz能量占比,0.6599279432157471,0.6586456665980447,0.19430554970169892,0.1635673172604823,0.16316885559068586,0.2436071438155581,0.002889839542995658,0.0012887022100636504
加噪扩充,1到3kHz能量占比,0.250237199148208,0.2506275847255501,0.15600621277305873,0.13438672206315216,0.13402965312088735,0.2657025461893147,0.0008871326689311537,0.0005274555130615267
加噪扩充,3到5kHz能量占比,0.08979808398546973,0.09068743452719943,0.9903892179522472,0.03479106707298746,0.03472431667804361,0.1918607290828216,0.006661235774958353,0.0008921693703255703
加噪扩充,一倍频能量占比,0.0923893787756238,0.09212469153814573,0.2864909808713156,0.042951187805842804,0.04283503704265961,0.2704250315626614,0.0027675464652217076,0.00027443537486446137
